name,ticker,market_cap,price_from,recent_quarter
Abercrombie & Fitch Co.,ANF,"4,420.98",02/20,10/31
Adtalem Global Education Inc,ATGE,"3,348.96",02/20,12/31
Altria Group Inc,MO,"113,136.00",02/20,12/31
AMC Networks Inc,AMCX,356.54,02/20,12/31
Bumble Inc,BMBL,341.46,02/20,09/30
Catalyst Pharmaceutical Inc,CPRX,"2,995.34",02/20,09/30
Cerence Inc,CRNC,356.54,02/20,12/31
CGI Inc,GIB,"16,031.05",02/20,12/31
Collegium Pharmaceutical Inc,COLL,"1,422.05",02/20,09/30
Consensus Cloud Solutions Inc,CCSI,566.28,02/20,12/31
CorMedix Inc,CRMD,550.79,02/20,09/30
Crocs Inc,CROX,"5,022.01",02/20,12/31
Enghouse Systems Ltd,EGHSF,684.99,02/20,10/31
EverQuote Inc,EVER,556.96,02/20,09/30
Gen Digital Inc,GEN,"13,544.10",02/20,12/31
Getty Images Holdings Inc,GETY,307.50,02/20,09/30
GigaCloud Technology Inc,GCT,"1,304.52",02/20,09/30
H&R Block Inc,HRB,"3,852.21",02/20,12/31
Harmony Biosciences Holdings Inc,HRMY,"1,679.50",02/20,09/30
HP Inc,HPQ,"17,452.29",02/20,10/31
IDT Corp,IDT,"1,244.12",02/20,10/31
Innoviva Inc,INVA,"1,748.85",02/20,09/30
Ironwood Pharmaceuticals Inc,IRWD,644.21,02/20,09/30
J Jill Inc,JILL,263.61,02/20,10/31
John Wiley & Sons Inc.,WLY,"1,573.73",02/20,10/31
Keros Therapeutics Inc,KROS,658.24,02/20,09/30
Korn Ferry,KFY,"3,215.37",02/20,10/31
Match Group Inc,MTCH,"7,607.37",02/20,12/31
NL Industries Inc.,NL,305.39,02/20,09/30
OneSpan Inc,OSPN,431.91,02/20,09/30
Pediatrix Medical Group Inc,MD,"1,588.69",02/20,12/31
Perdoceo Education Corp,PRDO,"2,088.16",02/20,09/30
Phoenix Education Partners Inc,PXED,"1,056.75",02/20,11/30
Pitney Bowes Inc.,PBI,"1,579.64",02/20,12/31
Playtika Holding Corp,PLTK,"1,306.46",02/20,09/30
PTC Therapeutics Inc,PTCT,"5,756.95",02/20,09/30
Puma Biotechnology Inc,PBYI,344.12,02/20,09/30
Rigel Pharmaceuticals Inc,RIGL,643.39,02/20,09/30
Rimini Street Inc,RMNI,328.85,02/20,12/31
SBC Medical Group Holdings Inc,SBC,427.75,02/20,09/30
Shutterstock Inc,SSTK,570.22,02/20,12/31
SIGA Technologies Inc,SIGA,483.37,02/20,09/30
Sirius XM Holdings Inc,SIRI,"7,055.10",02/20,12/31
Strategic Education Inc,STRA,"1,789.20",02/20,09/30
The Cigna Group,CI,"74,478.09",02/20,12/31
TriNet Group Inc,TNET,"1,847.04",02/20,12/31
Upwork Inc,UPWK,"1,720.25",02/20,12/31
Versant Media Group Inc,VSNT,"4,378.46",02/20,09/30
Xponential Fitness Inc,XPOF,291.19,02/20,09/30
Yelp Inc,YELP,"1,297.25",02/20,12/31
