ticker,roic_years,avg,trend,trend_detail,passed
ANF,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=ANF&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
ATGE,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=ATGE&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
MO,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=MO&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
AMCX,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=AMCX&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
BMBL,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=BMBL&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
CPRX,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=CPRX&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
CRNC,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=CRNC&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
GIB,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=GIB&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
COLL,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=COLL&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
CCSI,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=CCSI&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
CRMD,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=CRMD&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
CROX,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=CROX&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
EGHSF,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=EGHSF&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
EVER,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=EVER&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
GEN,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=GEN&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
GETY,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=GETY&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
GCT,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=GCT&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
HRB,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=HRB&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
HRMY,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=HRMY&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
HPQ,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=HPQ&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
IDT,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=IDT&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
INVA,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=INVA&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
IRWD,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=IRWD&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
JILL,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=JILL&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
WLY,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=WLY&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
KROS,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=KROS&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
KFY,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=KFY&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
MTCH,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=MTCH&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
NL,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=NL&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
OSPN,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=OSPN&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
MD,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=MD&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
PRDO,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=PRDO&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
PXED,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=PXED&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
PBI,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=PBI&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
PLTK,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=PLTK&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
PTCT,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=PTCT&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
