ticker,roic_years,avg,min,max,std,trend,trend_detail,passed
ANF,0,,,,,insufficient_data,Need at least 3 years of data,False
ATGE,0,,,,,insufficient_data,Need at least 3 years of data,False
MO,0,,,,,insufficient_data,Need at least 3 years of data,False
AMCX,0,,,,,insufficient_data,Need at least 3 years of data,False
BMBL,0,,,,,insufficient_data,Need at least 3 years of data,False
CPRX,0,,,,,insufficient_data,Need at least 3 years of data,False
CRNC,0,,,,,insufficient_data,Need at least 3 years of data,False
GIB,0,,,,,insufficient_data,Need at least 3 years of data,False
COLL,0,,,,,insufficient_data,Need at least 3 years of data,False
CCSI,0,,,,,insufficient_data,Need at least 3 years of data,False
CRMD,0,,,,,insufficient_data,Need at least 3 years of data,False
CROX,0,,,,,insufficient_data,Need at least 3 years of data,False
EGHSF,0,,,,,insufficient_data,Need at least 3 years of data,False
EVER,0,,,,,insufficient_data,Need at least 3 years of data,False
GEN,0,,,,,insufficient_data,Need at least 3 years of data,False
GETY,0,,,,,insufficient_data,Need at least 3 years of data,False
GCT,0,,,,,insufficient_data,Need at least 3 years of data,False
HRB,0,,,,,insufficient_data,Need at least 3 years of data,False
HRMY,0,,,,,insufficient_data,Need at least 3 years of data,False
HPQ,0,,,,,insufficient_data,Need at least 3 years of data,False
IDT,0,,,,,insufficient_data,Need at least 3 years of data,False
INVA,0,,,,,insufficient_data,Need at least 3 years of data,False
IRWD,0,,,,,insufficient_data,Need at least 3 years of data,False
JILL,0,,,,,insufficient_data,Need at least 3 years of data,False
WLY,0,,,,,insufficient_data,Need at least 3 years of data,False
KROS,0,,,,,insufficient_data,Need at least 3 years of data,False
KFY,0,,,,,insufficient_data,Need at least 3 years of data,False
MTCH,0,,,,,insufficient_data,Need at least 3 years of data,False
NL,0,,,,,insufficient_data,Need at least 3 years of data,False
OSPN,0,,,,,insufficient_data,Need at least 3 years of data,False
MD,0,,,,,insufficient_data,Need at least 3 years of data,False
PRDO,0,,,,,insufficient_data,Need at least 3 years of data,False
PXED,0,,,,,insufficient_data,Need at least 3 years of data,False
PBI,0,,,,,insufficient_data,Need at least 3 years of data,False
PLTK,0,,,,,insufficient_data,Need at least 3 years of data,False
PTCT,0,,,,,insufficient_data,Need at least 3 years of data,False
PBYI,0,,,,,insufficient_data,Need at least 3 years of data,False
RIGL,0,,,,,insufficient_data,Need at least 3 years of data,False
RMNI,0,,,,,insufficient_data,Need at least 3 years of data,False
SBC,0,,,,,insufficient_data,Need at least 3 years of data,False
SSTK,0,,,,,insufficient_data,Need at least 3 years of data,False
SIGA,0,,,,,insufficient_data,Need at least 3 years of data,False
SIRI,0,,,,,insufficient_data,Need at least 3 years of data,False
STRA,0,,,,,insufficient_data,Need at least 3 years of data,False
CI,0,,,,,insufficient_data,Need at least 3 years of data,False
TNET,0,,,,,insufficient_data,Need at least 3 years of data,False
UPWK,0,,,,,insufficient_data,Need at least 3 years of data,False
VSNT,0,,,,,insufficient_data,Need at least 3 years of data,False
XPOF,0,,,,,insufficient_data,Need at least 3 years of data,False
YELP,0,,,,,insufficient_data,Need at least 3 years of data,False
